Warehouse_block,Shipment_mode,Customer_care_calls,Customer_rating,Product_Cost,Prior_purchases,Product_importance,Gender,Discount_offered,Weights_gms,Delivery_status,Delay_flag,Discount_category,Weight_Category
A,Ship,2,5,279,3,low,F,8,4632,Delayed,1,Low,Medium
B,Ship,4,4,159,2,low,M,4,4648,On Time,0,Low,Medium
C,Ship,5,3,138,3,low,F,5,5687,On Time,0,Low,Medium
F,Ship,3,2,224,3,low,F,7,5896,Delayed,1,Low,Medium
D,Ship,3,3,269,3,low,M,4,4309,Delayed,1,Low,Medium
F,Ship,5,3,121,2,medium,F,4,5231,On Time,0,Low,Medium
A,Road,4,3,134,2,low,F,2,4522,Delayed,1,Low,Medium
B,Road,4,5,259,3,medium,M,4,5344,On Time,0,Low,Medium
C,Road,4,4,206,2,high,M,8,4093,On Time,0,Low,Medium
F,Road,3,1,209,2,low,M,6,5701,On Time,0,Low,Medium
D,Road,3,3,145,3,medium,M,1,5709,Delayed,1,Low,Medium
F,Road,5,2,164,2,medium,M,8,5717,Delayed,1,Low,Medium
A,Road,3,1,133,3,medium,M,6,5464,On Time,0,Low,Medium
B,Road,3,2,178,3,low,F,5,5686,Delayed,1,Low,Medium
C,Road,4,3,175,2,low,M,3,4200,Delayed,1,Low,Medium
F,Road,2,4,242,3,medium,M,8,4898,Delayed,1,Low,Medium
D,Road,4,2,202,3,low,M,8,4575,On Time,0,Low,Medium
F,Road,4,3,176,2,low,F,6,5149,On Time,0,Low,Medium
A,Road,4,3,203,4,low,F,1,5274,Delayed,1,Low,Medium
B,Road,4,3,207,4,low,M,5,5008,On Time,0,Low,Medium
C,Road,4,2,268,3,medium,M,1,4927,Delayed,1,Low,Medium
F,Road,3,3,244,3,low,M,6,5109,Delayed,1,Low,Medium
D,Road,3,5,134,3,low,F,10,4693,Delayed,1,Low,Medium
F,Road,3,4,143,3,low,F,1,4392,On Time,0,Low,Medium
A,Road,3,5,246,3,low,F,2,5556,On Time,0,Low,Medium
B,Road,3,2,157,2,low,F,7,5228,Delayed,1,Low,Medium
C,Road,3,3,169,3,low,M,10,5147,Delayed,1,Low,Medium
F,Road,4,5,231,3,low,F,6,4449,On Time,0,Low,Medium
D,Flight,3,3,262,5,medium,F,1,5043,Delayed,1,Low,Medium
F,Flight,3,2,227,2,medium,M,10,4290,Delayed,1,Low,Medium
A,Flight,5,2,162,4,medium,M,7,5477,On Time,0,Low,Medium
B,Flight,5,5,148,2,medium,M,4,4812,Delayed,1,Low,Medium
C,Flight,3,4,138,2,medium,F,8,4837,Delayed,1,Low,Medium
F,Flight,3,3,255,2,medium,F,3,4824,Delayed,1,Low,Medium
D,Flight,3,5,218,3,low,M,2,5841,Delayed,1,Low,Medium
F,Flight,4,1,260,4,low,M,2,4091,On Time,0,Low,Medium
A,Flight,4,3,142,2,low,F,5,5502,On Time,0,Low,Medium
B,Flight,4,5,257,3,medium,M,5,4180,Delayed,1,Low,Medium
C,Flight,4,2,252,3,low,F,1,4176,Delayed,1,Low,Medium
F,Flight,5,4,151,5,low,F,1,4122,Delayed,1,Low,Medium
D,Flight,4,3,190,5,low,F,8,4736,Delayed,1,Low,Medium
F,Flight,4,5,137,2,low,M,7,4068,Delayed,1,Low,Medium
A,Flight,4,4,164,2,low,M,7,5456,Delayed,1,Low,Medium
B,Flight,3,5,271,3,low,F,9,5328,Delayed,1,Low,Medium
C,Flight,3,5,162,2,high,M,1,4573,On Time,0,Low,Medium
F,Flight,2,4,221,5,medium,M,4,4034,On Time,0,Low,Medium
D,Flight,5,4,202,3,low,F,3,4559,On Time,0,Low,Medium
F,Flight,4,5,143,2,low,M,1,5836,Delayed,1,Low,Medium
A,Flight,3,5,254,3,low,M,6,4703,Delayed,1,Low,Medium
B,Flight,4,3,96,4,medium,M,1,4984,On Time,0,Low,Medium
C,Ship,3,3,199,5,medium,F,10,4847,On Time,0,Low,Medium
F,Ship,4,1,198,4,low,F,5,5182,Delayed,1,Low,Medium
D,Ship,4,3,257,3,low,F,2,5198,On Time,0,Low,Medium
F,Ship,3,2,149,5,medium,F,9,4310,Delayed,1,Low,Medium
A,Ship,5,1,193,4,medium,F,10,5280,Delayed,1,Low,Medium
B,Ship,3,5,284,2,low,M,10,5619,Delayed,1,Low,Medium
C,Ship,4,5,205,4,medium,F,5,5264,Delayed,1,Low,Medium
F,Ship,5,5,185,3,low,M,5,4520,On Time,0,Low,Medium
D,Ship,5,4,268,3,high,F,10,4955,Delayed,1,Low,Medium
F,Ship,5,1,252,3,medium,M,2,4339,Delayed,1,Low,Medium
A,Ship,4,3,196,2,low,F,5,5656,Delayed,1,Low,Medium
B,Ship,3,3,149,3,low,M,6,4654,Delayed,1,Low,Medium
C,Ship,5,5,154,2,medium,M,3,4669,Delayed,1,Low,Medium
F,Ship,5,4,267,2,medium,M,4,4053,Delayed,1,Low,Medium
D,Ship,3,3,208,2,medium,F,5,5661,Delayed,1,Low,Medium
F,Ship,5,5,275,3,medium,M,9,4287,On Time,0,Low,Medium
A,Ship,4,2,272,2,low,F,1,5939,On Time,0,Low,Medium
B,Ship,6,5,280,3,low,M,9,4074,On Time,0,Low,Medium
C,Ship,6,3,202,3,low,F,5,4930,Delayed,1,Low,Medium
F,Ship,5,2,184,3,medium,F,8,4581,Delayed,1,Low,Medium
D,Ship,5,2,244,5,medium,F,7,5515,Delayed,1,Low,Medium
F,Ship,4,4,138,5,low,M,10,5401,Delayed,1,Low,Medium
A,Ship,4,3,109,2,medium,F,4,5407,Delayed,1,Low,Medium
B,Ship,2,5,189,5,low,M,3,5292,Delayed,1,Low,Medium
C,Ship,3,2,170,3,low,M,9,4069,Delayed,1,Low,Medium
F,Ship,3,1,183,2,medium,F,10,4598,Delayed,1,Low,Medium
D,Ship,3,4,263,6,high,M,3,4429,Delayed,1,Low,Medium
F,Ship,4,1,271,4,low,M,9,5853,On Time,0,Low,Medium
A,Ship,6,3,202,4,medium,F,3,4496,On Time,0,Low,Medium
B,Ship,3,3,265,3,medium,F,8,5070,Delayed,1,Low,Medium
C,Ship,4,1,220,3,medium,F,6,4472,Delayed,1,Low,Medium
F,Ship,4,4,274,2,low,F,7,4873,On Time,0,Low,Medium
D,Ship,4,5,212,2,medium,M,10,4552,Delayed,1,Low,Medium
F,Ship,4,2,244,3,high,M,1,5559,On Time,0,Low,Medium
A,Ship,4,5,252,3,medium,F,4,5017,Delayed,1,Low,Medium
B,Ship,5,5,158,2,low,M,8,4743,Delayed,1,Low,Medium
C,Ship,2,5,286,6,medium,F,5,5490,Delayed,1,Low,Medium
F,Ship,3,5,164,3,high,M,10,4639,On Time,0,Low,Medium
D,Ship,4,3,170,6,medium,M,6,4998,Delayed,1,Low,Medium
F,Ship,4,1,269,2,medium,F,8,4930,Delayed,1,Low,Medium
A,Ship,4,2,238,2,low,F,2,4002,Delayed,1,Low,Medium
B,Ship,4,3,198,7,medium,F,1,5315,Delayed,1,Low,Medium
C,Ship,4,4,184,8,low,M,7,5235,On Time,0,Low,Medium
F,Ship,5,2,265,3,low,M,10,4347,On Time,0,Low,Medium
D,Ship,3,2,204,10,medium,F,10,4534,Delayed,1,Low,Medium
F,Ship,5,1,233,7,medium,F,5,5759,On Time,0,Low,Medium
A,Ship,4,5,134,3,low,F,8,5694,Delayed,1,Low,Medium
B,Ship,3,4,153,3,medium,F,9,5474,Delayed,1,Low,Medium
C,Ship,2,5,241,3,medium,F,3,4253,On Time,0,Low,Medium
F,Ship,4,5,187,3,low,M,7,5022,On Time,0,Low,Medium
D,Ship,3,3,148,3,low,F,8,5622,Delayed,1,Low,Medium
F,Ship,3,4,133,8,medium,F,10,5439,On Time,0,Low,Medium
A,Ship,6,1,250,4,low,M,10,1623,On Time,0,Low,Light
B,Ship,6,1,249,4,medium,M,2,1326,On Time,0,Low,Light
C,Ship,5,2,259,5,low,M,8,1678,Delayed,1,Low,Light
F,Ship,6,4,266,4,low,M,5,1639,On Time,0,Low,Light
D,Ship,6,5,244,4,medium,F,6,1185,Delayed,1,Low,Light
F,Ship,4,5,239,6,low,M,2,1879,Delayed,1,Low,Light
A,Ship,4,5,270,5,low,F,1,1187,On Time,0,Low,Light
B,Ship,6,3,270,4,low,F,7,1079,Delayed,1,Low,Light
C,Ship,6,2,257,4,medium,M,1,1513,Delayed,1,Low,Light
F,Ship,4,3,243,5,medium,F,3,1634,On Time,0,Low,Light
D,Ship,4,5,271,4,low,M,6,5078,Delayed,1,Low,Medium
F,Ship,6,3,202,4,medium,F,6,4249,Delayed,1,Low,Medium
A,Ship,3,3,265,3,medium,F,3,5986,On Time,0,Low,Medium
B,Ship,4,1,220,3,medium,M,1,5159,On Time,0,Low,Medium
C,Ship,4,3,274,2,low,M,1,4762,Delayed,1,Low,Medium
F,Ship,4,1,212,2,medium,M,4,4969,Delayed,1,Low,Medium
D,Ship,4,2,244,3,high,F,3,4103,Delayed,1,Low,Medium
F,Ship,4,2,252,3,medium,F,4,5782,Delayed,1,Low,Medium
A,Ship,5,1,158,2,low,M,4,5736,On Time,0,Low,Medium
B,Ship,2,5,286,6,medium,F,3,4497,On Time,0,Low,Medium
C,Ship,3,3,164,3,high,M,8,5170,Delayed,1,Low,Medium
F,Ship,4,2,170,6,medium,M,10,4891,Delayed,1,Low,Medium
D,Ship,4,3,269,2,medium,M,2,4158,Delayed,1,Low,Medium
F,Ship,4,3,238,2,low,M,7,5808,On Time,0,Low,Medium
A,Ship,4,5,198,7,medium,M,9,4249,On Time,0,Low,Medium
B,Ship,4,3,184,8,low,M,4,4686,Delayed,1,Low,Medium
C,Ship,5,2,265,3,low,M,8,5447,On Time,0,Low,Medium
F,Ship,3,1,204,10,medium,M,5,5375,Delayed,1,Low,Medium
D,Ship,5,2,233,7,medium,F,8,5519,On Time,0,Low,Medium
F,Ship,4,2,134,3,low,F,9,4214,On Time,0,Low,Medium
A,Ship,3,2,153,3,medium,M,6,4056,Delayed,1,Low,Medium
B,Ship,2,1,241,3,medium,F,5,5697,On Time,0,Low,Medium
C,Ship,4,4,187,3,low,F,8,4893,Delayed,1,Low,Medium
F,Ship,3,4,148,3,low,F,8,5267,On Time,0,Low,Medium
D,Ship,3,5,133,8,medium,F,8,5002,On Time,0,Low,Medium
F,Ship,6,1,250,4,low,M,4,1018,Delayed,1,Low,Light
A,Ship,6,5,249,4,medium,M,3,1710,On Time,0,Low,Light
B,Ship,5,3,259,5,low,M,2,1730,Delayed,1,Low,Light
C,Ship,6,2,266,4,low,F,9,1220,Delayed,1,Low,Light
F,Ship,6,3,244,4,medium,M,5,1108,On Time,0,Low,Light
D,Ship,4,5,239,6,low,M,4,1451,Delayed,1,Low,Light
F,Road,4,3,270,5,low,F,3,1786,On Time,0,Low,Light
A,Road,6,4,282,4,low,M,6,1580,Delayed,1,Low,Light
B,Road,6,5,295,4,medium,M,2,1981,Delayed,1,Low,Light
C,Road,6,1,255,4,low,M,5,1253,On Time,0,Low,Light
F,Road,6,4,292,4,low,M,3,1826,On Time,0,Low,Light
D,Road,6,3,244,4,low,F,1,1317,On Time,0,Low,Light
F,Road,6,1,306,4,low,M,1,1210,Delayed,1,Low,Light
A,Road,6,1,258,4,low,M,3,1506,Delayed,1,Low,Light
B,Road,4,2,265,6,low,M,8,1391,On Time,0,Low,Light
C,Road,5,1,227,5,low,M,7,1620,On Time,0,Low,Light
F,Road,7,1,276,4,low,F,8,1560,On Time,0,Low,Light
D,Road,6,4,244,4,medium,M,7,1795,Delayed,1,Low,Light
F,Road,4,3,217,6,medium,F,6,1552,Delayed,1,Low,Light
A,Road,2,3,211,3,low,F,8,1172,Delayed,1,Low,Light
B,Road,4,2,227,5,low,M,7,1354,On Time,0,Low,Light
C,Road,5,3,249,4,medium,M,1,1014,On Time,0,Low,Light
F,Road,6,3,269,4,low,M,3,1006,Delayed,1,Low,Light
D,Road,6,5,278,4,medium,F,6,1140,Delayed,1,Low,Light
F,Road,6,5,282,4,medium,M,3,1385,Delayed,1,Low,Light
A,Road,6,4,300,4,medium,F,7,1607,Delayed,1,Low,Light
B,Road,5,5,259,5,low,F,9,1624,Delayed,1,Low,Light
C,Road,6,1,295,4,medium,F,6,1611,Delayed,1,Low,Light
F,Flight,5,5,238,5,low,M,2,1657,Delayed,1,Low,Light
D,Flight,5,3,270,5,medium,F,7,1303,On Time,0,Low,Light
F,Flight,5,3,267,5,low,M,6,1119,On Time,0,Low,Light
A,Flight,4,1,270,5,medium,M,9,1280,On Time,0,Low,Light
B,Flight,4,1,245,5,medium,F,8,1923,Delayed,1,Low,Light
C,Flight,6,4,262,4,low,F,10,1068,On Time,0,Low,Light
F,Flight,4,2,245,5,low,M,8,1122,On Time,0,Low,Light
D,Flight,6,2,268,4,low,M,7,1943,Delayed,1,Low,Light
F,Flight,5,1,262,5,low,M,1,1488,On Time,0,Low,Light
A,Flight,6,3,283,5,medium,M,10,1483,Delayed,1,Low,Light
B,Flight,5,3,260,5,medium,M,8,1001,Delayed,1,Low,Light
C,Flight,7,5,258,4,low,F,4,1677,On Time,0,Low,Light
F,Flight,5,2,130,4,medium,F,1,1877,Delayed,1,Low,Light
D,Flight,6,3,262,5,low,M,9,1053,Delayed,1,Low,Light
F,Flight,6,2,293,4,low,F,4,1764,On Time,0,Low,Light
A,Flight,7,1,255,5,medium,M,10,1238,On Time,0,Low,Light
B,Flight,6,1,242,5,low,F,5,1555,Delayed,1,Low,Light
C,Flight,6,3,264,4,medium,F,6,1622,On Time,0,Low,Light
F,Flight,6,4,253,4,low,F,7,1485,Delayed,1,Low,Light
D,Flight,5,5,271,5,low,F,4,1667,Delayed,1,Low,Light
F,Flight,6,2,250,4,medium,F,3,1777,On Time,0,Low,Light
A,Flight,4,3,266,5,high,F,5,1590,Delayed,1,Low,Light
B,Ship,6,2,286,4,low,F,4,1594,Delayed,1,Low,Light
C,Ship,5,2,275,5,low,M,9,1373,Delayed,1,Low,Light
F,Ship,6,3,295,5,low,M,4,1392,Delayed,1,Low,Light
D,Ship,5,1,269,6,medium,F,8,1341,Delayed,1,Low,Light
F,Ship,4,1,239,5,low,F,1,1780,On Time,0,Low,Light
A,Ship,6,4,271,4,medium,M,8,1867,Delayed,1,Low,Light
B,Ship,6,5,165,6,low,F,6,1529,On Time,0,Low,Light
C,Ship,7,2,302,5,medium,M,5,1614,Delayed,1,Low,Light
F,Ship,6,2,293,6,low,F,10,1919,On Time,0,Low,Light
D,Ship,4,4,202,3,low,F,3,5524,On Time,0,Low,Medium
F,Ship,2,3,185,3,medium,F,7,4246,Delayed,1,Low,Medium
A,Ship,4,4,210,2,medium,M,8,5942,Delayed,1,Low,Medium
B,Ship,3,5,186,2,medium,M,8,5924,Delayed,1,Low,Medium
C,Ship,3,4,163,3,low,M,7,5913,Delayed,1,Low,Medium
F,Ship,3,4,168,3,low,M,5,5964,Delayed,1,Low,Medium
D,Ship,4,3,199,3,low,M,8,4391,On Time,0,Low,Medium
F,Ship,3,5,271,2,medium,M,7,4958,Delayed,1,Low,Medium
A,Ship,3,4,164,3,low,F,4,4796,Delayed,1,Low,Medium
B,Ship,4,1,231,2,medium,M,3,4696,Delayed,1,Low,Medium
C,Ship,3,1,196,2,low,M,10,4141,On Time,0,Low,Medium
F,Ship,4,2,218,3,low,F,2,4949,Delayed,1,Low,Medium
D,Ship,5,1,267,4,low,M,5,4440,On Time,0,Low,Medium
F,Ship,4,4,163,3,low,F,5,4440,Delayed,1,Low,Medium
A,Ship,4,1,224,4,medium,F,5,4887,Delayed,1,Low,Medium
B,Ship,3,4,156,2,medium,F,10,5107,On Time,0,Low,Medium
C,Ship,5,5,175,6,low,F,2,4883,On Time,0,Low,Medium
F,Ship,3,4,257,5,medium,F,5,5365,Delayed,1,Low,Medium
D,Ship,4,4,259,3,low,M,3,4509,Delayed,1,Low,Medium
F,Ship,3,3,112,4,low,F,7,5716,On Time,0,Low,Medium
A,Ship,4,3,145,4,medium,M,2,5735,Delayed,1,Low,Medium
B,Ship,3,1,230,3,medium,M,3,4957,Delayed,1,Low,Medium
C,Ship,3,4,188,4,low,F,6,5016,Delayed,1,Low,Medium
F,Ship,3,2,132,4,medium,F,3,4512,Delayed,1,Low,Medium
D,Ship,4,1,239,4,high,M,2,5502,Delayed,1,Low,Medium
F,Ship,2,5,167,3,medium,M,8,4605,Delayed,1,Low,Medium
A,Ship,3,1,133,3,medium,M,7,4004,On Time,0,Low,Medium
B,Ship,4,2,270,2,high,F,9,5080,On Time,0,Low,Medium
C,Ship,4,3,229,2,medium,M,7,5364,On Time,0,Low,Medium
F,Ship,5,1,261,4,high,F,6,4852,Delayed,1,Low,Medium
D,Ship,2,1,192,3,low,F,9,4774,Delayed,1,Low,Medium
F,Ship,4,5,217,3,low,F,6,4848,On Time,0,Low,Medium
A,Ship,4,3,246,2,low,M,6,4908,Delayed,1,Low,Medium
B,Ship,5,5,208,2,medium,M,8,5321,Delayed,1,Low,Medium
C,Ship,5,1,148,3,low,F,5,5790,Delayed,1,Low,Medium
F,Ship,4,1,132,6,high,M,8,4902,On Time,0,Low,Medium
D,Ship,4,2,249,3,low,F,6,5051,On Time,0,Low,Medium
F,Ship,3,3,225,4,low,F,9,5468,On Time,0,Low,Medium
A,Ship,5,1,279,4,medium,F,3,4607,Delayed,1,Low,Medium
B,Ship,4,2,183,2,low,F,8,4921,Delayed,1,Low,Medium
C,Ship,4,4,215,2,high,F,6,5238,Delayed,1,Low,Medium
F,Ship,6,4,195,5,high,F,10,4225,Delayed,1,Low,Medium
D,Ship,4,2,156,2,medium,M,5,4467,On Time,0,Low,Medium
F,Ship,3,5,160,3,low,F,8,4106,Delayed,1,Low,Medium
A,Ship,5,5,153,5,medium,M,10,5297,Delayed,1,Low,Medium
B,Ship,3,4,215,3,high,F,5,4670,On Time,0,Low,Medium
C,Ship,4,3,163,3,low,F,7,4556,Delayed,1,Low,Medium
F,Ship,4,2,195,3,medium,M,8,5198,Delayed,1,Low,Medium
D,Ship,4,3,170,2,low,M,3,4587,On Time,0,Low,Medium
F,Ship,3,3,133,3,low,M,5,5937,Delayed,1,Low,Medium
A,Ship,5,2,171,6,medium,F,5,5981,On Time,0,Low,Medium
B,Ship,3,5,186,3,medium,M,7,4764,Delayed,1,Low,Medium
C,Ship,4,2,246,3,high,M,5,5960,Delayed,1,Low,Medium
F,Ship,3,3,170,3,low,F,7,5427,On Time,0,Low,Medium
D,Ship,2,5,189,2,low,M,9,5245,Delayed,1,Low,Medium
F,Ship,4,5,216,2,low,F,8,5767,On Time,0,Low,Medium
A,Ship,4,2,264,3,low,M,10,5137,On Time,0,Low,Medium
B,Ship,5,4,268,3,low,F,3,5320,On Time,0,Low,Medium
C,Ship,4,1,225,2,medium,F,10,4577,On Time,0,Low,Medium
F,Ship,4,2,252,2,high,F,4,5233,On Time,0,Low,Medium
D,Ship,3,2,204,3,low,F,8,4586,On Time,0,Low,Medium
F,Ship,5,1,193,2,medium,F,1,4450,Delayed,1,Low,Medium
A,Ship,5,3,220,3,low,F,9,5324,Delayed,1,Low,Medium
B,Ship,6,4,271,3,low,F,7,5192,On Time,0,Low,Medium
C,Ship,2,2,227,4,medium,M,6,4104,On Time,0,Low,Medium
F,Ship,4,1,206,5,medium,F,7,5941,On Time,0,Low,Medium
D,Ship,4,2,142,3,medium,F,3,4644,Delayed,1,Low,Medium
F,Ship,5,5,236,2,medium,M,2,5210,Delayed,1,Low,Medium
A,Ship,5,4,275,2,medium,M,10,5395,On Time,0,Low,Medium
B,Ship,3,5,144,2,medium,M,2,4629,On Time,0,Low,Medium
C,Ship,4,5,194,3,medium,M,3,5168,On Time,0,Low,Medium
F,Ship,3,2,260,3,low,M,9,4591,On Time,0,Low,Medium
D,Ship,3,4,240,3,medium,M,8,4410,Delayed,1,Low,Medium
F,Ship,3,2,136,3,high,F,2,5739,Delayed,1,Low,Medium
A,Ship,3,3,132,2,medium,M,1,4687,Delayed,1,Low,Medium
B,Ship,4,2,266,3,medium,M,7,5121,Delayed,1,Low,Medium
C,Ship,4,1,263,3,high,M,5,4782,Delayed,1,Low,Medium
F,Ship,5,5,270,3,low,F,9,5807,On Time,0,Low,Medium
D,Ship,3,3,208,5,low,F,10,4258,Delayed,1,Low,Medium
F,Ship,5,5,206,3,low,M,1,5520,Delayed,1,Low,Medium
A,Ship,3,3,159,3,low,M,3,5230,On Time,0,Low,Medium
B,Ship,4,3,162,3,low,M,4,5913,On Time,0,Low,Medium
C,Ship,3,2,177,2,medium,M,4,4417,Delayed,1,Low,Medium
F,Ship,3,3,168,4,low,F,4,4096,On Time,0,Low,Medium
D,Road,3,1,267,4,medium,F,4,4914,On Time,0,Low,Medium
F,Road,4,5,222,3,medium,F,7,5844,Delayed,1,Low,Medium
A,Road,3,2,234,3,low,F,10,4781,Delayed,1,Low,Medium
B,Road,3,1,133,3,low,F,9,5724,Delayed,1,Low,Medium
C,Road,4,4,207,3,low,F,10,4533,Delayed,1,Low,Medium
F,Road,4,3,243,4,low,F,9,4811,Delayed,1,Low,Medium
D,Road,5,5,161,3,low,F,1,4470,On Time,0,Low,Medium
F,Road,3,5,193,3,medium,F,6,5302,Delayed,1,Low,Medium
A,Road,4,5,234,4,medium,M,9,5769,Delayed,1,Low,Medium
B,Road,2,1,185,6,medium,F,7,4138,On Time,0,Low,Medium
C,Road,4,5,242,2,medium,F,5,4806,Delayed,1,Low,Medium
F,Road,4,5,252,2,high,F,6,4147,On Time,0,Low,Medium
D,Road,4,3,179,3,low,F,3,5495,On Time,0,Low,Medium
F,Road,4,3,158,3,high,F,5,5602,Delayed,1,Low,Medium
A,Road,3,1,226,3,low,F,8,4002,Delayed,1,Low,Medium
B,Road,5,4,269,2,medium,F,2,5962,Delayed,1,Low,Medium
C,Road,3,5,148,3,low,F,7,5685,Delayed,1,Low,Medium
F,Road,4,5,159,2,low,F,3,5704,Delayed,1,Low,Medium
D,Road,3,4,273,4,medium,M,4,5361,Delayed,1,Low,Medium
F,Road,3,4,233,3,medium,M,5,5306,Delayed,1,Low,Medium
A,Road,4,5,182,3,medium,F,2,4473,Delayed,1,Low,Medium
B,Road,3,4,153,2,medium,M,5,4023,On Time,0,Low,Medium
C,Flight,4,5,210,2,medium,M,5,5683,Delayed,1,Low,Medium
F,Flight,4,1,241,3,medium,M,6,4558,Delayed,1,Low,Medium
D,Flight,3,2,220,3,low,M,8,5032,On Time,0,Low,Medium
F,Flight,5,4,211,3,medium,F,7,4856,Delayed,1,Low,Medium
A,Flight,3,5,151,3,low,F,1,4088,Delayed,1,Low,Medium
B,Flight,5,5,267,3,medium,M,9,4775,On Time,0,Low,Medium
C,Flight,4,3,250,2,medium,M,4,4808,On Time,0,Low,Medium
F,Flight,4,3,181,3,low,F,5,5398,On Time,0,Low,Medium
D,Flight,5,2,197,4,high,M,4,4339,On Time,0,Low,Medium
F,Flight,3,4,172,2,medium,F,5,4647,Delayed,1,Low,Medium
A,Flight,4,1,219,3,low,M,3,5223,On Time,0,Low,Medium
B,Flight,5,5,189,3,low,M,7,5717,Delayed,1,Low,Medium
C,Flight,5,1,225,3,low,M,8,4539,Delayed,1,Low,Medium
F,Flight,5,3,269,5,low,F,8,5833,On Time,0,Low,Medium
D,Flight,5,4,157,3,medium,F,7,4199,On Time,0,Low,Medium
F,Flight,3,5,189,3,low,M,5,5422,Delayed,1,Low,Medium
A,Flight,3,1,226,2,medium,F,6,4946,On Time,0,Low,Medium
B,Flight,2,1,220,2,medium,F,6,4382,On Time,0,Low,Medium
C,Flight,6,3,275,6,low,M,4,4875,Delayed,1,Low,Medium
F,Flight,3,4,171,3,medium,F,5,4310,On Time,0,Low,Medium
D,Flight,4,3,235,3,low,F,4,5289,On Time,0,Low,Medium
F,Flight,3,4,201,3,high,M,7,4887,On Time,0,Low,Medium
A,Ship,5,5,269,3,low,F,5,5673,On Time,0,Low,Medium
B,Ship,5,3,182,2,low,M,4,5579,Delayed,1,Low,Medium
C,Ship,5,5,266,5,low,F,9,4500,Delayed,1,Low,Medium
F,Ship,3,5,157,2,medium,F,4,5991,Delayed,1,Low,Medium
D,Ship,4,1,258,4,high,F,1,5476,Delayed,1,Low,Medium
F,Ship,4,2,280,4,low,M,9,5288,On Time,0,Low,Medium
A,Ship,4,4,154,3,low,F,7,4106,On Time,0,Low,Medium
B,Ship,4,4,274,2,low,F,3,4257,Delayed,1,Low,Medium
C,Ship,4,5,180,2,medium,F,1,4332,Delayed,1,Low,Medium
F,Ship,3,5,146,3,medium,F,7,4126,Delayed,1,Low,Medium
D,Ship,3,4,236,3,medium,M,1,5851,Delayed,1,Low,Medium
F,Ship,4,4,133,4,high,F,10,5296,Delayed,1,Low,Medium
A,Ship,5,2,173,4,high,F,9,4307,Delayed,1,Low,Medium
B,Ship,4,3,210,3,low,M,9,5556,Delayed,1,Low,Medium
C,Ship,3,4,238,2,medium,F,1,4991,On Time,0,Low,Medium
F,Ship,4,2,268,4,low,F,3,5275,Delayed,1,Low,Medium
D,Ship,3,5,175,3,medium,F,8,5471,On Time,0,Low,Medium
F,Ship,5,2,280,4,low,M,8,4539,On Time,0,Low,Medium
A,Ship,4,1,153,2,low,F,1,4027,Delayed,1,Low,Medium
B,Ship,4,4,251,2,medium,F,6,4376,Delayed,1,Low,Medium
C,Ship,4,2,252,3,medium,M,8,4262,On Time,0,Low,Medium
F,Ship,4,5,201,8,medium,F,4,5472,On Time,0,Low,Medium
D,Ship,5,4,216,4,medium,F,8,5878,On Time,0,Low,Medium
F,Ship,3,2,126,10,low,M,3,4073,On Time,0,Low,Medium
A,Ship,3,2,177,4,low,F,3,4199,On Time,0,Low,Medium
B,Ship,5,3,145,3,medium,M,1,5783,On Time,0,Low,Medium
C,Ship,5,3,258,2,low,F,10,5371,On Time,0,Low,Medium
F,Ship,4,3,273,10,medium,M,6,4251,On Time,0,Low,Medium
D,Ship,4,1,245,3,low,F,5,4523,Delayed,1,Low,Medium
F,Ship,5,4,241,2,medium,F,7,4413,Delayed,1,Low,Medium
A,Ship,4,1,208,3,low,F,6,5345,On Time,0,Low,Medium
B,Ship,6,5,282,4,low,M,1,1193,On Time,0,Low,Light
C,Ship,6,5,295,4,medium,M,1,1159,Delayed,1,Low,Light
F,Ship,6,5,255,4,low,F,9,1113,Delayed,1,Low,Light
D,Ship,6,3,292,4,low,F,8,1434,Delayed,1,Low,Light
F,Ship,6,4,244,4,low,M,1,1130,On Time,0,Low,Light
A,Ship,6,4,306,4,low,F,8,1691,On Time,0,Low,Light
B,Ship,6,5,258,4,low,M,5,1966,On Time,0,Low,Light
C,Ship,4,1,265,6,low,F,2,1629,On Time,0,Low,Light
F,Ship,5,1,227,5,low,M,6,1667,Delayed,1,Low,Light
D,Ship,7,1,276,4,low,F,9,1519,On Time,0,Low,Light
F,Ship,6,5,244,4,medium,F,2,1980,Delayed,1,Low,Light
A,Ship,4,2,217,6,medium,F,3,1732,On Time,0,Low,Light
B,Ship,2,5,211,3,low,M,3,1368,Delayed,1,Low,Light
C,Ship,4,4,227,5,low,M,8,1982,On Time,0,Low,Light
F,Ship,5,1,249,4,medium,M,5,1027,On Time,0,Low,Light
D,Ship,6,2,269,4,low,M,6,1073,Delayed,1,Low,Light
F,Ship,6,3,278,4,medium,M,4,1716,Delayed,1,Low,Light
A,Ship,6,5,282,4,medium,F,4,1013,Delayed,1,Low,Light
B,Ship,6,1,300,4,medium,F,2,1790,On Time,0,Low,Light
C,Ship,3,3,146,3,medium,F,4,5384,Delayed,1,Low,Medium
F,Ship,3,4,236,3,medium,F,5,5466,Delayed,1,Low,Medium
D,Ship,4,4,133,4,high,F,7,5973,On Time,0,Low,Medium
F,Ship,5,4,173,4,high,F,8,5284,On Time,0,Low,Medium
A,Ship,4,2,210,3,low,F,9,4163,Delayed,1,Low,Medium
